#,C(Au),C(Ag),C(CTAB),C(I2959),UV Intensity,time,V(os),Note
31,0.121296348,0.075116936,6.666950549,1.827688125,15.77929591,10.64092791,5.53470432,S
32,0.061495985,0.063522213,5.209952767,1.36201587,31.00280902,7.52599156,6.012233097,S
33,0.125087216,0.086433572,7.773009139,2.10913873,18.40814883,9.722648971,5.072907466,S
34,0.056225163,0.06718402,2.715083184,1.844375947,23.29784209,11.72862582,5.786096519,S
35,0.119343332,0.074454913,7.533813751,2.03869692,15.99045921,9.813252175,5.565990213,S
36,0.093204044,0.113070429,5.348682318,1.497521701,22.09388179,8.929501363,5.579481815,S
37,0.103579722,0.078047746,7.604780653,1.999528424,17.94993078,10.43072943,5.708362042,S
38,0.052780699,0.053021545,6.38148459,3.808493412,20.01010691,5.532629944,5.187970407,S
39,0.113741848,0.084808159,7.330892385,1.969100011,17.60534671,10.08418137,5.484894796,S
40,0.134950608,0.125345424,1.958109865,2.423972606,23.82216737,5.052614649,4.700931138,S
1,0.131857171,0.144861836,2.847886824,1.451430938,11.12612628,24.32556001,5.414745353,CS
2,0.116645794,0.053758089,3.584342081,0.99852238,9.342895056,23.88616349,5.429266225,CS
3,0.134606688,0.079543923,3.778763105,1.072932143,8.985170186,21.96674185,5.35081719,CS
4,0.074065335,0.094762674,3.509707387,1.352415755,11.04070616,22.66951786,6.640133922,CS
5,0.122120884,0.068219286,3.476003912,1.045155607,9.773875768,24.20643635,5.949757558,CS
6,0.104515066,0.11824443,2.566042605,1.071519503,12.5964736,27.10404065,5.081410473,CS
7,0.132299906,0.068941168,3.612482081,1.146903341,8.901015811,23.76478318,5.670458682,CS
8,0.122694979,0.120858323,3.139350143,1.24721719,11.58143002,23.13737619,6.3625764,CS
9,0.140378954,0.063817752,3.547996341,1.133362276,9.406063412,23.29743189,5.950941915,CS
10,0.101876613,0.082428895,2.701327271,1.246658672,9.909727883,23.33193641,6.528477908,CS
11,0.084679812,0.052085337,2.98654225,1.243736026,10.89680183,25.41777498,4.939402765,CS
13,0.086849727,0.066421863,3.311762736,1.217913104,11.03118911,23.14077456,5.740374711,CS
14,0.094177017,0.081192399,2.64221935,1.063017581,11.8824719,27.91141101,6.025756117,CS
16,0.090515134,0.062715804,3.602335133,1.228983275,9.870065345,25.77413733,5.799258149,CS
19,0.089303453,0.061557733,3.320228016,1.214180284,10.54498406,23.47949405,5.19184975,CS
20,0.101572505,0.136406171,2.898501643,1.046248585,9.166694396,22.13824548,5.16540118,CS
21,0.09451163,0.058751497,3.264248081,1.175290366,12.23414717,25.15019856,5.82953561,CS
22,0.074784357,0.134154299,2.880558078,1.033384014,10.23179876,24.81787051,6.599789816,CS
23,0.094138095,0.062847046,3.202252298,1.124800459,9.115187487,25.14707397,5.73336042,CS
24,0.105423647,0.095534834,3.635892324,1.187887762,9.403993674,27.48023783,5.26422693,CS
25,0.088490635,0.05592888,3.465531731,1.150409038,10.61296411,25.95535915,5.456062888,CS
27,0.091308455,0.067623013,3.674998824,1.263801947,11.19091937,23.27859418,5.111238219,CS
29,0.125223208,0.104992578,3.47519722,1.129850317,9.244806601,22.18487159,6.090106398,CS
31,0.088543794,0.062517696,3.319293074,1.09230369,11.26482548,25.82808608,5.282638038,CS
33,0.093613364,0.059540663,3.474674556,1.129934948,11.05302539,23.63588661,5.161287513,CS
1,0.080249206,9.48063E-05,15.67185551,8.24138589,48.44337592,11.61393043,6.037543822,NT
2,0.076480107,7.57977E-05,16.51306065,9.920770336,38.40953631,6.200481158,5.448256811,NT
3,0.060930499,7.25006E-05,18.06452616,9.793057599,33.39962367,6.699399779,5.59482558,NT
4,0.047203011,5.61638E-05,17.42637854,8.829172521,51.62694437,9.641567291,4.68989591,NT
5,0.067908835,8.6918E-05,15.38783608,9.473216032,48.91428222,6.874496336,5.671067299,NT
6,0.075749952,6.07278E-05,18.00076409,9.755073371,60.52206228,9.266326102,6.332759585,NT
7,0.076598419,8.26457E-05,18.72916801,10.04913603,49.83205835,9.266704599,6.823958066,NT
8,0.054632579,0.000103309,15.44954657,9.560844861,39.49655401,8.163846969,4.959715512,NT
9,0.075799333,8.65604E-05,17.08469879,10.23063933,56.53144207,10.5846433,6.081154613,NT
10,0.057946819,5.19E-05,15.58578693,9.366358998,46.52541086,4.422954529,5.733652738,NT
11,0.079277017,6.39997E-05,18.10833608,10.54451127,57.86349046,9.618880991,6.578416561,NT
12,0.066876217,9.10536E-05,15.96205905,10.18056089,36.04370542,5.987123935,5.75834107,NT
13,0.085846771,7.53471E-05,18.20224121,9.688723247,62.89231697,9.416750144,7.002221549,NT
14,0.057859854,7.81669E-05,17.54206692,8.838024931,42.96941293,11.08695037,5.196025923,NT
15,0.060690065,7.52486E-05,16.37848224,8.978300914,39.21218388,8.449113452,5.166000999,NT
16,0.060678648,5.48826E-05,20.32335704,9.492416732,38.72725147,10.08263492,5.748476921,NT
17,0.053482057,6.57471E-05,18.1920193,8.510234147,46.11330197,11.2879409,4.95074567,NT
18,0.063342666,8.98845E-05,17.15089671,9.495957871,54.7205741,8.164815765,5.508564784,NT
19,0.055728685,7.62988E-05,15.46833519,8.691346221,45.54725406,11.82560271,5.090055197,NT
20,0.063319088,8.26542E-05,16.5180258,9.584730182,51.1218084,8.643299423,4.97173026,NT
21,0.064740181,7.17653E-05,15.62706806,8.594082432,45.29241812,12.80794804,4.627439223,NT
22,0.072205784,6.35715E-05,17.99481598,10.0709255,34.45924436,7.913768864,5.212682021,NT
23,0.058485043,6.99636E-05,17.92027189,9.071873522,47.01668195,10.56648033,5.238921671,NT
24,0.073190301,6.99598E-05,16.25562261,8.961408047,47.47596511,10.38281963,6.124752869,NT
25,0.055397506,7.22725E-05,16.63033342,9.345130382,47.43986329,11.40370451,5.117394409,NT
26,0.081756297,8.16673E-05,17.91110586,8.867510653,37.82562212,9.955318758,5.121434471,NT
27,0.057742005,6.96286E-05,17.63455053,9.549632924,44.76963789,11.62084825,4.782029565,NT
28,0.07196569,5.74815E-05,15.23055309,9.174842348,51.44087646,6.835666603,5.087444574,NT
29,0.080593827,5.62043E-05,16.86395631,10.29421109,47.85048456,11.02852114,5.722289319,NT
30,0.06481955,5.81362E-05,15.88318811,10.39069312,41.47830732,11.66130046,6.014929321,NT
31,0.051255584,6.00073E-05,16.83137856,10.01466077,48.67953158,6.283910981,6.415147202,NT
32,0.072464387,8.20188E-05,16.10758563,9.368271053,34.37851632,8.50009651,6.242725516,NT
33,0.055466764,7.70741E-05,16.82413559,9.592718496,39.9745713,5.391510695,6.525594301,NT
34,0.064632896,5.94789E-05,15.14545043,9.693235653,40.90001809,7.35977797,5.376595006,NT
35,0.049359444,6.80388E-05,15.96044336,8.132180364,35.48723214,5.728103372,5.287042237,NT
36,0.072914556,5.58649E-05,17.11041498,8.879948955,52.33892391,11.13420321,6.486875545,NT
37,0.073436825,7.67457E-05,17.26139746,8.690267075,38.01208491,10.28550585,5.394050158,NT
38,0.063977542,7.10795E-05,16.30080366,8.888433199,41.09487862,5.613834341,5.173839384,NT
39,0.05095234,9.84585E-05,18.72297265,9.714452802,50.2451767,4.820822626,4.86031903,NT
40,0.07655093,6.12262E-05,18.0335805,9.150710447,48.26679387,8.876891188,6.37197905,NT
